Time_t,Potential_U,Minus_dU_dt,Kernel_Phi,Integrand,Cum_Lambda
0,100,35.993,1,35.993,0
0.05,96.471,69.177,0.9802,67.807,3.244
0.1,93.08,66.464,0.9608,63.858,7.358
0.15,89.823,63.858,0.9418,60.139,11.233
0.2,86.693,61.354,0.9231,56.637,14.882
0.25,83.686,58.949,0.9048,53.339,18.319
0.3,80.797,56.637,0.8869,50.233,21.556
0.35,78.021,54.416,0.8694,47.307,24.604
0.4,75.353,52.283,0.8521,44.552,27.475
0.45,72.791,50.233,0.8353,41.958,30.178
0.5,70.329,48.263,0.8187,39.514,32.724
0.55,67.963,46.371,0.8025,37.213,35.122
0.6,65.691,44.552,0.7866,35.046,37.38
0.65,63.507,42.805,0.7711,33.005,39.506
0.7,61.409,41.127,0.7558,31.083,41.509
0.75,59.393,39.514,0.7408,29.273,43.395
0.8,57.456,37.965,0.7261,27.568,45.172
0.85,55.596,36.476,0.7118,25.963,46.844
0.9,53.808,35.046,0.6977,24.451,48.42
0.95,52.09,33.672,0.6839,23.027,49.904
1,50.44,32.352,0.6703,21.686,51.301
1.05,48.854,31.083,0.657,20.423,52.617
1.1,47.33,29.864,0.644,19.234,53.856
1.15,45.867,28.693,0.6313,18.114,55.023
1.2,44.46,27.568,0.6188,17.059,56.122
1.25,43.109,26.487,0.6065,16.065,57.157
1.3,41.811,25.449,0.5945,15.13,58.132
1.35,40.564,24.451,0.5827,14.249,59.05
1.4,39.365,23.492,0.5712,13.419,59.915
1.45,38.214,22.571,0.5599,12.637,60.729
1.5,37.107,21.686,0.5488,11.902,61.496
1.55,36.045,20.836,0.5379,11.208,62.218
1.6,35.023,20.019,0.5273,10.556,62.898
1.65,34.042,19.234,0.5169,9.941,63.539
1.7,33.099,18.48,0.5066,9.362,64.142
1.75,32.194,17.755,0.4966,8.817,64.71
1.8,31.323,17.059,0.4868,8.303,65.245
1.85,30.487,16.39,0.4771,7.82,65.749
1.9,29.684,15.747,0.4677,7.364,66.224
1.95,28.912,15.13,0.4584,6.936,66.67
2,28.171,14.537,0.4493,6.532,67.091
2.05,27.458,13.967,0.4404,6.151,67.488
2.1,26.774,13.419,0.4317,5.793,67.861
2.15,26.116,12.893,0.4232,5.456,68.212
2.2,25.484,12.387,0.4148,5.138,68.544
2.25,24.877,11.902,0.4066,4.839,68.855
2.3,24.294,11.435,0.3985,4.557,69.149
